title,perex,date,link
"У Киргизстані вантажівка в’їхала в групу дітей, десятки постраждали, троє – у тяжкому стані","За даними МВС, 48-річний водій залишив свою машину, з якої дітям планували роздавати морозиво, без нагляду, вона з’їхала з гори і врізалася в групу з сотень людей, більшість з яких були дітьми","18:00, 02 травня 2024",https://www.radiosvoboda.org/a/news-kyrhyzstan-dtp-dity/32930827.html
ОВА: у Дергачах на Харківщині зросло число постраждалих через російський удар дітей,Раніше повідомлялось про шестеро постраждалих дітей,"17:55, 02 травня 2024",https://www.radiosvoboda.org/a/news-derhachi-udar-kaby/32930818.html
Відбудова розбомблених будинків у Секторі Гази може тривати десятки років – ООН,"За оцінками, опублікованими Програмою розвитку ООН, Сектору Гази потрібно буде «приблизно 80 років для відновлення всіх повністю зруйнованих житлових одиниць». Однак, за найкращим сценарієм, це може бути зроблено до 2040 року","17:41, 02 травня 2024",https://www.radiosvoboda.org/a/news-oon-gaza-ruinuvannia/32930806.html
Зеленський про засідання Ставки: обговорювали готовність фортифікаційних рубежів і графіки надходження зброї від партнерів,На засіданні Ставки був оголошений великий звіт щодо ступеня готовності фортифікаційних рубежів у прикордонних регіонах та на напрямках активних бойових дій,"17:30, 02 травня 2024",https://www.radiosvoboda.org/a/news-zelenskyy-stavka-zasidannya/32930796.html
"Підприємець українського походження проїде 7 тисяч км велосипедом, щоб зібрати кошти для постраждалих від війни дітей","Приблизно за два тижні він стартує з Тайваню і загалом проїде три континенти – Азію, Америку і Європу","17:13, 02 травня 2024",https://www.radiosvoboda.org/a/news-velomarafon-dity-viyna/32930763.html
ЗМІ: Шольц і Макрон проведуть таємну зустріч в Парижі напередодні візиту Сі,"Як повідомляється, ключовою темою обговорення політиків стане візит Сі Цзіньпіна","17:02, 02 травня 2024",https://www.radiosvoboda.org/a/news-scholz-and-macron-zustrich-paryzh-si/32930748.html
Унаслідок обстрілу РФ Дергачів на Харківщині поранено шістьох дітей – влада,"«Двоє з дітей отримали легкі поранення кінцівок, четверо – середньої тяжкості. Усі потерпілі госпіталізовані»","16:52, 02 травня 2024",https://www.radiosvoboda.org/a/news-derhachi-obstril-dity/32930734.html
Китай відреагував на нові санкції США – обіцяє «необхідні заходи» для захисту своїх компаній,Китай обіцяє вживати всіх «необхідних заходів для рішучого захисту законних прав та інтересів китайських компаній»,"16:34, 02 травня 2024",https://www.radiosvoboda.org/a/news-kytay-reaktsiya-sanktsiyi-ssha/32930711.html
Єврокомісія: у Брюсселі 6 травня відбудеться форум оборонної промисловості Україна-ЄС,«Форум має на меті зміцнити співпрацю між європейською та українською оборонною промисловістю»,"16:15, 02 травня 2024",https://www.radiosvoboda.org/a/news-oboronna-promyslovist-forum-bryussel/32930680.html
На акціях протесту в Тбілісі в ніч на 2 травня постраждали 15 людей – МОЗ Грузії,"За повідомленням, серед них є силовики. Деякі з постраждалих уже залишили медустанови","15:35, 02 травня 2024",https://www.radiosvoboda.org/a/news-tbilisi-postrazhdali-protesty/32930616.html
Грузія: противники закону про «іноагентів» влаштували ходу до офісу правлячої партії в Тбілісі,Біля штаб-квартири було мобілізовано додаткові сили поліції. Демонстранти вирішили продовжити ходу та повернулися на проспект Руставелі,"23:28, 03 травня 2024",https://www.radiosvoboda.org/a/news-hruziia-zakon-pro-inoahentiv-ofis-pravliacha-partiia/32932586.html
У Чугуєві внаслідок ракетного удару пошкоджений вокзал – прокуратура,«Ворог здійснив комбіновану атаку по місту: двома ракетами типу С-300 та двома ракетами системи «Торнадо-С» з касетними бойовими елементами»,"22:56, 03 травня 2024",https://www.radiosvoboda.org/a/news-chuhuyiv-obstril-viyna-rosiya/32932575.html
ОВА: жителі Донецької області можуть безплатно евакуюватися на захід,,"22:30, 03 травня 2024",https://www.radiosvoboda.org/a/32932566.html
«Не заохочуємо»: Брінк про удари американською зброєю по території Росії,"Про це вона заявила під час зустрічі із журналістами у Києві, 3 травня","22:30, 03 травня 2024",https://www.radiosvoboda.org/a/ne-dopuskayemo-i-ne-zaokhochuyemo-brink-pro-udary-amerykanskoyu-zbroyeyu-po-rosiyskiy-terytoriyi/32932559.html
USAID анонсувало пакет допомоги аграрному сектору України на 60 мільйонів доларів,"«Програма має на меті допомогти українським аграріям підвищити ефективність виробництва, зробити його стійкішим і більш конкурентоспроможним під час війни»","22:01, 03 травня 2024",https://www.radiosvoboda.org/a/news-usaid-dopomoha-ahrarii/32932560.html
МЗС дало рекомендації українцям на тлі протестів у Грузії,У відомстві нагадали українцям про можливість звернутися до посольства у разі надзвичайної ситуації,"21:37, 03 травня 2024",https://www.radiosvoboda.org/a/news-hruziya-protesty-mzs-rekomendatsiya-ukrayintsi/32932550.html
Валютна лібералізація: Нацбанк зняв обмеження для бізнесу на імпорт робіт і послуг,Метою змін НБУ називає «поліпшення умов ведення бізнес-діяльності в Україні та виходу вітчизняного бізнесу на нові ринки»,"21:23, 03 травня 2024",https://www.radiosvoboda.org/a/news-nbu-valiutna-liberalizatsiia/32932542.html
"Зеленський назвав питання, які обговорять на Глобальному саміті миру","«Якщо такі треки будуть підтримані учасниками саміту, то планується визначити відповідальні за позитивні результати по цих напрямках держави»","21:00, 03 травня 2024",https://www.radiosvoboda.org/a/news-zelenskyy-samit-myru-shveytsariya/32932531.html
У Фінляндії трьох громадян Росії заарештували за ймовірне порушення санкцій – ЗМІ,Підозрювані – студенти професійного училища Кайнуу у місті Каяані у центральній частині Фінляндії,"20:41, 03 травня 2024",https://www.radiosvoboda.org/a/news-finlandia-hromadiany-rosii-aresht-sanktsii/32932522.html
За добу відбулось близько ста бойових зіткнень – зведення Генштабу ЗСУ,«Протягом доби авіація Сил оборони завдала ударів по 13 районах зосередження особового складу та 3 пунктах управління»,"20:28, 03 травня 2024",https://www.radiosvoboda.org/a/news-zvedennya-viyna-henshtab-zsu/32932517.html
Росія змінила тактику застосування безпілотників – ЗСУ,"«Нині триває аналіз ситуації, українська сторона слідкує за використанням розвідувальних БПЛА, оскільки вони менші, їх важче зафіксувати»","19:56, 03 травня 2024",https://www.radiosvoboda.org/a/news-rosiya-rakety-drony-yevlash-zsu/32932479.html
"Сили РФ завдали ракетного удару по Кропивницькому, постраждав чоловік – влада","За словами голови ОВА, відповідні служби працюють на місці події","19:20, 03 травня 2024",https://www.radiosvoboda.org/a/news-kropyvnytskyy-raketnyy-udar-rosiya/32932463.html
Україна перед «новим етапом» війни з Росією – Зеленський,"«Важливо довести, що ворог за жодних обставин та як би підло не діяв – не буде здатний досягти своїх цілей»","18:54, 03 травня 2024",https://www.radiosvoboda.org/a/news-ukrayina-zelenskyy-viyna-rosiya/32932425.html
